Response,TopicA,PercA,TopicB,PercB,TopicC,PercC
"i i meant to complete them. unfortunately, i had medical issues. uh, and i it was a combination of, uh, forgetting and then, uh, having the time to complete them. so it was a combination of issues.",1,0.9945347905158997,,,,
i i was too busy. i guess that means time and,1,0.9812424778938293,2.0,0.011953356675803661,,
"i i would say that they were complicated and because of life circumstances, i skipped one. and after that, it was hard to keep going again. so that was it.",2,0.993839681148529,,,,
"i am currently 72 as i was working on the surveys, uh, i got to the point that information that was being asked for had been so long ago, i i couldn't remember those dates, um, or time periods well enough to answer the questions.",2,0.9967408180236816,,,,
i am no longer interested in completing those. please remove me from your list.,0,0.5804169178009033,1.0,0.4099680185317993,,
i am no longer interested in doing this.,0,0.025170302018523216,1.0,0.930611252784729,2.0,0.044218383729457855
i am not interested in doing it. take me off of your list.,0,0.9731780886650085,1.0,0.011027216911315918,2.0,0.01579473167657852
i am not part of the survey group.,1,0.975213885307312,2.0,0.015795111656188965,,
"i became uninterested in it. i just didn't follow up. i changed jobs and, like i didn't want to do it.",0,0.9882633686065674,,,,
i believe i completed them online. i that's what i recall. maybe i'm wrong.,2,0.9898074269294739,,,,
"i believe i sent it in, so i don't know. um, i i was pretty sure i had sent it in, but maybe maybe i had it. i'm not sure.",2,0.9938400983810425,,,,
"i believe i was contacted via email to complete the surveys. i'm not sure, but i think i was, um but i don't know, a pin number or a log in. so that's if if that's how the surveys are directed towards me, um, i i don't have the information to complete them. and when i called for information, i never was able to speak to a person, so i just gave up.",2,0.997614324092865,,,,
"i believe initially my log in did not work or i could not figure it out, and then i did not act on subsequent emails.",1,0.7868323922157288,2.0,0.21009686589241028,,
i believe it's too intrusive.,0,0.960468590259552,1.0,0.016252441331744194,2.0,0.023279033601284027
i believe that i have completed all surveys that were sent to me.,2,0.984851062297821,,,,
"i came down with breast cancer, and i've been having chemo, radiation and immunotherapy for almost three years.",1,0.9915350675582886,,,,
"i can't do it online. and the paper ones are, um, just so time consuming.",2,0.9878145456314087,,,,
"i can't find them. i misplaced them. and then i just kept forgetting that i could find them, that i had to do them, so i forgot about it.",1,0.9891555309295654,,,,
"i can't remember what i wrote on the last survey, which means i can't be accurate on this last survey. and i, of course, never copied the previous survey, so i know how i'd answered.",2,0.9958781003952026,,,,
"i changed my address, and i have never received the survey in the new address.",1,0.984912633895874,,,,
i changed my mind about doing it.,0,0.9604746103286743,1.0,0.01624995656311512,2.0,0.023275474086403847
i chose not to participate in the study any longer.,0,0.9796994924545288,2.0,0.01195442583411932,,
i complete the for the second one. i didn't receive it. i wish i just i moved. maybe you haven't didn't have my others.,2,0.9923209547996521,,,,
"i completed all of them, but the the last one and i was in a depression and just couldn't focus. and by the time i was able to focus on the survey, i received information saying that they didn't that it was completed that part.",2,0.995586097240448,,,,
"i completed all your surveys and send them back. so i don't know why you think i have not. so if if i missed one, then the mail lost it. but otherwise they've been all returned. done.",2,0.9943943023681641,,,,
"i completed and returned the surveys i received from the message and implies you never received any from me, which would be should be inaccurate. however, i have not received any in quite some time, probably because i moved.",2,0.9961337447166443,,,,
i completed and submitted everyone submitted to me.,2,0.9848501086235046,,,,
"i completed at least one extra survey. i thought i'd completed more. i don't know how often you send them, and therefore, i don't know how often i should be looking for them. but i know i have completed surveys in the past, and as far as i know, i have sent them back.",2,0.9970496296882629,,,,
i completed everyone i,0,0.013249816372990608,1.0,0.016250919550657272,2.0,0.9704992175102234
i completed many of them. i moved. there is one that i believe i received after and did not get to send that.,2,0.9923214316368103,,,,
"i completed one survey that was sent to my house. i didn't receive any other surveys, but i did send back one.",2,0.9931640625,,,,
"i completed the last one that was sent to me. my address is 6. 29 walker avenue, baltimore, maryland 21212 happy to help you. thanks for involving me.",0,0.723876416683197,1.0,0.27307233214378357,,
i completed the survey and mailed it in within the last month.,1,0.9873813986778259,,,,
i completed them and mailed them.,0,0.013248711824417114,1.0,0.01624956540763378,2.0,0.970501720905304
"i completed these surveys and mailed them in, yeah.",2,0.9848509430885315,,,,
i completed two out of the three surveys.,2,0.9848509430885315,,,,
"i completed two previous surveys. the last one, perhaps the last two mailings i have not completed. they were during 2020. i work in a hospital. i did not have time, covid. and i'm responding to your phone call now. that's it.",2,0.9967406988143921,,,,
"i contracted ca breast cancer, and i didn't think i should be in the survey anymore.",1,0.9891544580459595,,,,
"i could not figure out a way to accurately fill out the survey. the questions didn't seem to fit my lifestyle or work situation at all, so i could not answer accurately the questions, so i got frustrated and did not return the survey.",2,0.9969028830528259,,,,
"i could not figure out how to enter into your database. i can't remember now, but i don't think i knew the password or somehow i just wasn't connecting, so i wasn't able to, um, enter the information.",2,0.9955853819847107,,,,
i couldn't answer some of the questions.,0,0.025169612839818,1.0,0.03087056800723076,2.0,0.9439597725868225
"i couldn't complete them accurately because i had no way of knowing how much i'd eat various things. oh, very six month time window. if i've been asked for things under a shorter time, such as the previous two weeks, i could have completed accurately the way the questions where, where it was impossible to do so correctly.",2,0.9977024793624878,,,,
"i couldn't remember answers to some of the questions, and so i wasn't sure whether data that possibly was bad was worse than not answering.",2,0.9931635856628418,,,,
i decided not to participate.,0,0.960474967956543,1.0,0.01624980941414833,2.0,0.023275263607501984
i decided to not this survey.,0,0.013249503448605537,1.0,0.01625053584575653,2.0,0.9704999327659607
i did complaint them and mail them in.,0,0.01325267180800438,1.0,0.016254421323537827,2.0,0.9704928994178772
i did complete a survey within the last two months and sent it in. it had been a long time that i had it in my possession.,1,0.55511474609375,2.0,0.4421186149120331,,
"i did complete it, and i thought i sent it back in the mail.",2,0.9848511219024658,,,,
"i did complete some surveys. some i didn't complete. where because i lost the paperwork or the paper was damaged. before i could send it back, an online version would have helped to complete them.",1,0.5022296905517578,2.0,0.4957878291606903,,
"i did complete some that i received, but i do not remember the last time i've received any. i think, you know, they got lost in the mail or something, but i have not received any in a in a long time.",2,0.9958783388137817,,,,
i did complete the survey.,0,0.013248610310256481,1.0,0.016249440610408783,2.0,0.9705018997192383
i did complete the survey. i thought i sent it.,2,0.9848512411117554,,,,
i did complete the surveys and mailed them back.,2,0.9848511815071106,,,,
i did complete them and i did send them back.,0,0.013248770497739315,1.0,0.016249636188149452,2.0,0.9705015420913696
i did complete them and i returned them. i'm not sure why you didn't get them.,2,0.984851062297821,,,,
i did complete them and sent them back. i don't know why you didn't get them.,2,0.9848511815071106,,,,
"i did complete, but i think i missed on mailing it. and with covid, everything got delayed. sorry about that.",2,0.9931638240814209,,,,
"i did forget some, but i have changed addresses. uh, i'm at 50 71. abbots glen way northwest georgia 30101 that's a b b, as in boy o t t as in tom s glen way.",0,0.9951214790344238,,,,
"i did forget, but also i saw them to be long.",1,0.9812424778938293,2.0,0.011953362263739109,,
i did not have the time.,0,0.02516901306807995,1.0,0.030869832262396812,2.0,0.9439610838890076
i did not have time. i've been extremely busy.,1,0.9752137064933777,2.0,0.01579522155225277,,
i did not realize that they were all that important. i thought it was just stuff coming through the mail.,2,0.9898080825805664,,,,
"i did not receive but one survey and the one i received, i forgot to fill out.",2,0.9912418127059937,,,,
"i did not see them. i'm not going to say they were never delivered. but i did not see them, so therefore i could not complete them.",2,0.9931634664535522,,,,
i did not want to be in it anymore.,0,0.9604753851890564,1.0,0.0162496380507946,2.0,0.023275019600987434
"i did not. i did changed my mind and don't wanna participate, period, please take me off your no call my call. your call is.",0,0.9917463660240173,,,,
"i did repe reply to at least some of them, um, some on paper and some online. not sure how many i missed, but would be happy to do them. yeah.",2,0.9948567748069763,,,,
i did return surveys to you. never heard any word.,2,0.9878126978874207,,,,
i did send them back.,0,0.02516959048807621,1.0,0.03087054193019867,2.0,0.9439598321914673
"i did the first one and it was long, i mean, unbelievably long. so when the second one came, i had every intention of doing it. but my gosh, they don't all have to be so long. or it could have a simple question. has anything changed and that that could be a yes or no or what has changed? but no, i mean, it's all through everything. so i did the first one and that was it. and i don't mind doing them again, but they don't need to be so long every time. i mean, if it's like 10 questions, good, i'm out of here. but if it's like all the the, uh, the unbelievable amount of questions, i i don't have time for that. and i'd love to help, but i'm not i i don't have time to spend 30 minutes to an hour filling out a survey. now i'll answer your questions over the phone if you want to do that. i don't mind answering a few questions every once in a while, but i'm not gonna sit there and go through that whole book again cause i did that the first time and i was happy to do it. i intend to do it again. yeah. is that all you needing",0,0.1778860241174698,2.0,0.8215949535369873,,
"i didn't i didn't forget sinochem. i must have, uh, misplaced them or something, because i send them out and i got the results back.",0,0.9917452931404114,,,,
"i didn't complete the survey as some of the questions were so specific. i did not know how to answer them. the survey to complete try to no, i understand into them properly.",2,0.9943943023681641,,,,
i didn't feel i could give accurate information.,2,0.9878143668174744,,,,
i didn't feel like i was making any difference.,0,0.9731732606887817,1.0,0.011029209941625595,2.0,0.015797587111592293
i didn't feel like it. i didn't understand it.,0,0.013249821029603481,1.0,0.01625092513859272,2.0,0.9704992175102234
i didn't have enough information to complete the medical portion and felt it was too long before my next appointment with my position.,2,0.9938392043113708,,,,
i didn't have good memories of.,0,0.013249782845377922,1.0,0.01625087857246399,2.0,0.9704993367195129
"i didn't have the time initially and then set them to the side. and then, uh, either misplaced them or just, uh, again didn't have the time to to get into them and get them completed.",1,0.9936324954032898,,,,
i didn't have time there too long.,0,0.013248647563159466,1.0,0.016249485313892365,2.0,0.9705018401145935
i didn't have time.,0,0.02516901306807995,1.0,0.030869832262396812,2.0,0.9439610838890076
"i didn't have time. and then i switched my job, so i don't believe, um i was able to give a forwarding address to it, but initially i didn't have time.",1,0.9930590391159058,,,,
"i didn't know i got any. maybe i did, but i don't remember.",2,0.9848510026931763,,,,
"i didn't know if they were really that important to you guys. if you really needed me to do it or not, or if this was just like i just wasn't sure of the value behind me, um, investing the 20 minutes or whatever it is to complete them.",2,0.9961337447166443,,,,
i didn't know the answers to the questions.,0,0.013248797506093979,1.0,0.01624966971576214,2.0,0.9705014824867249
i didn't know what they were.,0,0.025169067084789276,1.0,0.030869899317622185,2.0,0.943960964679718
i didn't make the time to do the surveys.,1,0.011027044616639614,2.0,0.979982316493988,,
i didn't really think that i was making much contribution.,2,0.9878141283988953,,,,
"i didn't think i qualified for it, because when they went to do the blood draw, they were not able to draw my blood because i was pregnant and it was warm out and my veins were dehydrated. they were not able to pull blood out, so i didn't think there was a need to do it.",1,0.9952126741409302,,,,
"i didn't think that my answers were honest because some of the questions were very specific. ah, example. how much time did i spend in the sun during my twenties or my thirties? and i honestly didn't think that i could give you accurate information and i was making it up, and i don't think it was truthful. so that's why i decided my contribution would not be accurate for the study.",2,0.9977023601531982,,,,
i do not care to fill them out any longer. please stop sending them.,0,0.31414300203323364,2.0,0.680242657661438,,
i do not know their additional surveys. i thought it was only a one time thing.,2,0.9912416338920593,,,,
"i do not want to participate anymore. i have not had cancer, but i simply do not want to participate anymore.",0,0.9863442182540894,,,,
i do not want to participate.,0,0.9249110817909241,1.0,0.030871057882905006,2.0,0.044217873364686966
i do not wish to participate in the survey.,0,0.6236936450004578,1.0,0.011027448810636997,2.0,0.3652789294719696
i do not wish to participate in this study anymore.,0,0.979701578617096,2.0,0.011953191831707954,,
"i don't believe i received them, but i also had a major brain surgery which has required, um, a lot of rehabilitation, and it was a lengthy ordeal.",1,0.9936320781707764,,,,
"i don't believe i've received one in a while. um, when my kids were younger, i think i just didn't have the time. but i would love to fill one out if you send me a new one.",2,0.9958782196044922,,,,
i don't care to participate in the survey any longer. please take me off your list.,0,0.735898494720459,2.0,0.25927674770355225,,
i don't feel like the surveys are beneficial to fighting cancer.,1,0.9849117398262024,,,,
i don't feel there's a need anymore because i just have none of the symptoms and it isn't in my family and it's very repetitive and it's very long.,1,0.9904916882514954,,,,
i don't have glasses. i need trifocals. i don't have the money. i've been taken by people from cars that i've bought and therefore i i have no money to get these glasses by having to sit there and read a survey and check things off. my eye hand coordination is off because i do not have both eyes with the same vision when i is totally different and getting worse. and there's nothing i can do at this time to be able to go and get the eyes checked to be able to purchase trifocals. so i have problems with having to do an abundance of paperwork.,2,0.9984071850776672,,,,
i don't have the time to invest in these surveys.,1,0.011027972213923931,2.0,0.9799805879592896,,
"i don't know what 50 is. are you talking to me? no, no, no. what is he doing? mmm, mmm. mmm.",2,0.989806592464447,,,,
i don't recall receiving them.,0,0.013249083422124386,1.0,0.016250019893050194,2.0,0.9705008864402771
"i don't remember a lot of things, so i don't know if i did it right.",0,0.2645927965641022,2.0,0.7286947965621948,,
i don't remember my number.,0,0.013249360956251621,1.0,0.016250360757112503,2.0,0.9705002307891846
i don't understand the words.,0,0.013250896707177162,1.0,0.016252243891358376,2.0,0.9704968333244324
i don't want to any longer.,0,0.013248750939965248,1.0,0.016249611973762512,2.0,0.9705016016960144
i don't want to be involved anymore.,0,0.9731776714324951,1.0,0.011027376167476177,2.0,0.015794960781931877
i don't want to no longer want to be involved.,0,0.9797016382217407,2.0,0.011953163892030716,,
i don't want to participate anymore.,0,0.9604747295379639,1.0,0.016249921172857285,2.0,0.023275423794984818
i don't want to.,0,0.9249137043952942,1.0,0.03086995892226696,2.0,0.044216301292181015
i don't wish to participate.,0,0.9604741334915161,1.0,0.016250157728791237,2.0,0.023275762796401978
i ended up getting cancer anyway.,1,0.9812425971031189,2.0,0.011953304521739483,,
"i felt dissed from the cancer society when i when i actually got cancer, and i called them to let them know that i would be dropping out of there. um, study. and everybody just seemed, uh, nonchalant about it. and i just thought, you know what? i'm not giving you people the time of day. i've gone through this whole situation by myself and not one help from anybody from your cancer society. so you know what? i'm done.",0,0.6693161725997925,2.0,0.3295809030532837,,
"i felt kind of overwhelmed by them. there were things that were i couldn't remember. they were from so long ago, and so i would put them aside to go back to them again, and then sometimes i would forget about it.",2,0.9955861568450928,,,,
i felt the questions. we're getting a little too personal.,2,0.9878146052360535,,,,
"i felt they were very long involved and that i probably wasn't able to remember back, as far as i needed to remember to complete them and also to have the detail that you needed for them.",2,0.9955861568450928,,,,
"i find that that you repeatedly asked me questions that i can no longer remember. you're going to ask me what my weight losses were in the last 10 years. i'm not going to remember that stuff. um, yeah. you ask too many questions that require too much history if you want something. but then last year i can do that before that. forget it.",2,0.9977842569351196,,,,
i find the packets are too big.,1,0.9752076268196106,2.0,0.01579911634325981,,
i forgot and lost the document.,1,0.9752113819122314,2.0,0.015796737745404243,,
"i forgot them, period. i set them aside.",0,0.9796997904777527,2.0,0.011954235844314098,,
i forgot to do it.,0,0.025169361382722855,1.0,0.9306138753890991,2.0,0.04421673342585564
i forgot.,0,0.025169365108013153,1.0,0.9306138753890991,2.0,0.044216737151145935
i forgot. i forgot. i forgot.,1,0.9752146005630493,2.0,0.01579468511044979,,
"i forgot. i just honestly, uh, probably put it aside to do later and then just slipped my mind.",0,0.9897099137306213,,,,
i forgot. yeah.,0,0.9604752063751221,1.0,0.016249705106019974,2.0,0.023275114595890045
i found it very difficult to answer the questions accurately for the first survey.,2,0.9898083806037903,,,,
i found the surveys cumbersome and very long and time consuming to complete as a working individual working anywhere from 40 to 60 hours a week. it should not take me 30 minutes to try to complete a survey.,2,0.9969026446342468,,,,
"i get the impression from the question surveys that i'm missing more than one. and i know that i completed, um, a couple, but they were late. um, and i caught. i may possibly i didn't, um but i would be happy to continue with this study and and possibly an online submission would be better. um, but feel free to either email me or mail me. and i think you have my current email m p for paula b b b i b b y at a t t dot net email address. and my home address is the same. so i will be happy to, uh, to answer any questions. thank you.",1,0.8685030937194824,2.0,0.13094954192638397,,
"i got busy and just didn't, uh, finish them. i figured when i missed one, you guys would not want the rest of them done. i think i've missed, uh, three now, is that right?",0,0.10241515934467316,2.0,0.8954551815986633,,
i got divorced and moved. i never got another c p three study after i left my original address.,1,0.9941177368164062,,,,
"i got hung up initially with a lot of the his history and, you know, historical questions that i didn't know the answer to. and i didn't. it didn't seem like there was an option to not answer them. so then, like i said, i got behind from the beginning. and then, um, i just never it was then i just kind of i was frustrated and never, never finish them. and i feel terrible, but it was it just it was started taking too much time to try to figure out what some of the answers were, um, things i didn't remember from years ago. so, um and then i just never continued once i got stuck. so that's it.",2,0.9985879063606262,,,,
i got married again. my name now is kenley instead of parishes. k i n l e y.,1,0.9923718571662903,,,,
i got my papers wet. i was flooded with water.,2,0.987811267375946,,,,
"i got some polls, some hurt her and others forgot. however, i have not received the survey every year.",2,0.99383944272995,,,,
"i got the package. ah, and it was looked like it would take a lot of time. so i set it aside, and then i months later, when i remembered them, i you know this this was each survey they sent months later. i was like i just didn't feel like sending them back. it seemed like it was too late.",0,0.496553510427475,2.0,0.5020800828933716,,
"i got the second survey, and i filled it out almost completely. and there was one question that i wasn't sure how to answer. it was about time of exposure to the sun, i think. and i was trying to really think about, like, all all of the time that it added up. and i eventually, uh, put it aside and didn't get back to it. and then i got the second, uh, copy of it. and i didn't fill that up because i already filled out the first one, and, uh, i i just put it on the back burner and then get back to it. uh, eventually, i moved and threw away the survey that i completed. and then i got the third survey at some point. and because i haven't filled out the second survey, i didn't",2,0.9988272190093994,,,,
i got them in the email and then i i forgot because the email was already read to go back to it.,1,0.9904924035072327,,,,
"i had a family issues that kept me from doing pretty much anything. i was very depressed and i just couldn't do it. it was too long and too in depth, and i just couldn't do it. sorry.",1,0.9923726916313171,,,,
"i had a few deaths in the family, and i myself had a terrible accident.",1,0.981240451335907,2.0,0.011954638175666332,,
"i had a roommate that was going through my mail, and he was just he trashed a lot of my stuff, so i kind of got behind on bills and apparently the surveys. i never received them because of him. he's no longer living with me. um, so i can restart this surveys, if i can.",2,0.996740460395813,,,,
"i had a some medical problems and i had a brain aneurism. and, uh, i i got too involved with helping helping with my parents and taking care of them with their doctor's appointments. and i have been wanting to continue the paperwork, but i having a lot of time keeping up with everything i need to be doing. i i am also being tested for possible cancer. are you still there? i'm gonna hang up if you don't say something.",0,0.7132217884063721,1.0,0.28514596819877625,,
"i had bariatric surgery, comma a sleeve death directed me in 2017, and i thought that it might have a great impact on the dietary results.",1,0.9941165447235107,,,,
"i had been diagnosed with breast cancer in 2015, and i did notify the survey, but also it could be that i didn't receive the package is because i have since moved from the location that i initially had started the, uh, program with yeah.",1,0.9957417845726013,,,,
"i had difficulty completing the survey online. when i was not able to complete one survey online, i thought that it would be no, it would be. do you no good for me to try to complete subsequent surveys? um, so i just stopped responding. and, uh, that's the reason i i was what intent my intent was to stay and continue to do those, um, surveys and participate in that study as long as necessary. and, um, when i got hung up on the online part of it and trying to navigate, um, that was i couldn't find a way around it. so, um, i was not able to complete a survey. and then, um, i had i felt like i needed to drop out.",1,0.4908624291419983,2.0,0.5086007118225098,,
i had no time.,0,0.02516901306807995,1.0,0.030869832262396812,2.0,0.9439610838890076
"i had relocated to another state, and my time was did not allow me to complete it. and i didn't think because i was in another state that that would apply.",1,0.9930592179298401,,,,
"i had two parents in critical health. um, in the past year and a half.",2,0.9912403225898743,,,,
i have a hand problem and i cannot can no longer white with my hands. i can't hold a pen to write on the surveys. i feel really bad because i really wanted to do this.,0,0.9944769740104675,,,,
i have already lost love two loved ones in my family from a cancer.,1,0.9904915690422058,,,,
"i have been dealing with other non cancer medical issues, including multiple knee surgeries, and i've had, uh, some other major health issues that have required my time and attention and made it difficult to follow the protocol of your study.",1,0.9961649775505066,,,,
"i have been out of town and hospitalized, no cancer.",0,0.9731721878051758,1.0,0.011029643006622791,2.0,0.015798207372426987
i have been taken care of. my 91 year old mother and i have not had time.,1,0.9873802065849304,,,,
"i have been the primary caretaker for two elderly parents, one of which has passed away and have not focused on anything other than their care.",1,0.992371678352356,,,,
i have cancer.,0,0.02516915090382099,1.0,0.9306144714355469,2.0,0.04421636089682579
i have completed all of the surveys.,0,0.01324861217290163,1.0,0.016249442473053932,2.0,0.9705018997192383
i have completed all survey sent to me and i have returned all surveys sent to me. i'm not sure why you have me listed as not completing them. i have done every single survey that i have received this far.,2,0.9952493906021118,,,,
i have completed all the surveys. the last survey. it took me over a year to complete. i sent it in in 2020. it was completed.,2,0.993840217590332,,,,
"i have completed some surveys. i did have a move in august, so there's been a recent survey. um, i do have a new address.",1,0.9904921054840088,,,,
"i have completed some surveys. uh, but they were submitted late. probably, uh, just, uh, occupied with other things. uh, you know, i regret not having done them on time.",2,0.9955858588218689,,,,
i have completed the surveys and has mailed them back.,2,0.9848511815071106,,,,
"i have completed the surveys. the last one i believe, may have then after the deadline, but sure did complete the paper survey and returned.",2,0.9948573112487793,,,,
i have completed them and mailed them in. not sure why you haven't gotten them? yeah.,2,0.987814724445343,,,,
"i have completed them and, uh, sent them hard. copy. um, so perhaps they either never got mailed, or, uh, i'm not sure what may have happened, but i have completed them.",2,0.9961339831352234,,,,
i have completed your surveys and i mailed them back. i don't know what happened to him from there.,2,0.9898085594177246,,,,
"i have completed your surveys, so i don't know why i'm receiving this call telling me that i have not completed them.",0,0.2955162525177002,2.0,0.6996591687202454,,
"i have completed, i believe two, possibly three surveys. so if i'm missing one, um, and i completed those online, so if i'm missing one, i'd certainly be happy to fill that out.",2,0.9961339831352234,,,,
"i have completed, i think two surveys and the last one, i just hadn't had the time.",2,0.9912418127059937,,,,
"i have completed, um, all the surveys, except for i think, the last one. i haven't an email, and i just haven't made the time to do it, but i have done one and two. yeah.",2,0.9952493906021118,,,,
i have developed a extreme dislike for questionnaire.,2,0.9848440289497375,,,,
i have elected not to participate.,0,0.013251797296106815,1.0,0.9634678959846497,2.0,0.02328033559024334
i have electronically and submitted the survey via paper at least three times over the years.,2,0.993163526058197,,,,
"i have filled them out, put them in the envelope and mailed them back to you.",2,0.9878144264221191,,,,
"i have had a lot of death in my life in the last few years. uh, mostly cancer related. and i felt that i didn't remember enough to in the first set of questions to, um, answer correctly, i felt like i was being evaluated. i don't know why. um, i'm really good at talking. uh, so if someone wants to fill it out for me and talk to me, that would be fine. 8453993886",2,0.9981738924980164,,,,
i have moved and i had health issues not related to cancer.,1,0.9812421798706055,2.0,0.011953555047512054,,
i have moved and they have gotten lost when i have moved.,1,0.9812433123588562,2.0,0.011952843517065048,,
"i have moved over the past, um, couple years. and so i'm just not sure that my address has been updated for you guys to, um, contact me, but that's the main reason.",1,0.9941178560256958,,,,
i have moved residents and lost them in the move.,1,0.9812413454055786,2.0,0.011954094283282757,,
i have moved several times and i haven't been receiving.,1,0.9812430143356323,2.0,0.011953024193644524,,
"i have moved since i originally started as well as i now work full time before i was not employed. i am now married and i have four children. i am a full time r n so i believe i've completed some of them, but i probably have not gotten all of them.",1,0.9961650967597961,,,,
"i have moved, never received them.",1,0.975214958190918,2.0,0.015794457867741585,,
i have moved.,0,0.02516903169453144,1.0,0.9306147694587708,2.0,0.04421615228056908
"i have never completed one of them since i left the hospital, simply because of the fact of time and what it takes to sit down and actually do that when you have four kids and two jobs.",0,0.2550009489059448,2.0,0.7428692579269409,,
i have no idea why didn't complete them. bye.,0,0.6498773097991943,1.0,0.011028051376342773,2.0,0.3390946090221405
i have no idea what surveys were four and why you were sending them to me. and i'd like you to just continue taking or take me off the list and just continue calling or sending me anything. thank you.,0,0.994085967540741,,,,
i have no interest in doing the surveys. i wish for you to remove me from your active database. please do not call or send me anything in the future. thank you.,0,0.9931090474128723,,,,
"i have no valid reason for not having done so. um, at one point i picked them back up, and it was months after i received them, so i decided it was probably too late to send it. if it's not too late, i would be happy if you would resend these. i would be happy to. we we, uh, turn them to you.",0,0.35790860652923584,1.0,0.6398686766624451,,
"i have not completed the surveys because i just wanted to drop out of that ah survey. and so i just didn't complete anything, so i just did not want to participate any longer. thank you.",0,0.3002157211303711,2.0,0.6966963410377502,,
i have not had enough time to do so.,0,0.013248993083834648,1.0,0.01624990999698639,2.0,0.9705010652542114
i have not seen this survey this week. i have been on vacation.,1,0.9812407493591309,2.0,0.011954471468925476,,
"i have received. i have completed some of the service in the past and mailed it. secondly, i have moved. i have moved. so i have a new address. now. i am in raleigh, north carolina. i'm normal in greenville, north carolina. so, um, my new address is 21. 01 ventana lane. i'm in raleigh, north carolina, and the zip is 27604",1,0.9971550703048706,,,,
i have relocated and have a new home address. that's probably why i didn't receive the surveys. i'd like to update my address.,1,0.9923730492591858,,,,
i have retired.,0,0.025171522051095963,1.0,0.9306079149246216,2.0,0.04422052577137947
i have severe fibromyalgia. i'm in pain a lot. i just don't feel like dealing with it.,0,0.9863415956497192,,,,
i have to a different address.,0,0.013249087147414684,1.0,0.9634753465652466,2.0,0.023275574669241905
