Response,TopicA,PercA,TopicB,PercB,TopicC,PercC,TopicD,PercD,TopicE,PercE,TopicF,PercF,TopicG,PercG,TopicH,PercH
"i continue to live at the same address since i begin the project but have only received one survey which was returned, period.",0,0.5376548767089844,4.0,0.4415450394153595,,,,,,,,,,,,
"i could use some more reminders when it comes in the mail. i don't always have the time to deal with it. right then and then i forget. and because it's paper, um, it might get caught in a pile. uh, i am more online, and so i'd be more than happy to fill something out via email or app.",1,0.4728132486343384,6.0,0.20905980467796326,7.0,0.3086074888706207,,,,,,,,,,
"i deal with memory difficulties, and it just slipped my mind after i got the mailer. and i, um, i didn't fill it out or send it back and send it back.",0,0.4868168532848358,5.0,0.496325820684433,,,,,,,,,,,,
"i did not like the questions about income. i thought they were too specific. if those questions were more broad, i wouldn't answer them.",0,0.011944225989282131,5.0,0.961125910282135,,,,,,,,,,,,
"i did not receive the latest survey in the mail, so i didn't realize there was another one. i will still be involved if one is sent out again.",0,0.8193243145942688,6.0,0.16170361638069153,,,,,,,,,,,,
i did not receive the questionnaire. i moved.,0,0.9214285612106323,1.0,0.012236290611326694,3.0,0.010042679496109486,5.0,0.011624542064964771,6.0,0.01448726560920477,7.0,0.01544107310473919,,,,
i did not start the study. my husband try to talk me into it. i do not wish to do this study.,0,0.5569443106651306,3.0,0.4117482602596283,,,,,,,,,,,,
"i didn't fit the other categories. that was the only category that fit. um, i guess make electronic, maybe.",0,0.010669278912246227,3.0,0.7629289031028748,7.0,0.20732778310775757,,,,,,,,,,
"i didn't get the surveys that you had sent, and i partly maybe because i have moved a couple of times three times, period, um, if you could, uh, email them to me, that would be the easiest, most reliable way for me to keep up with the service. i'd certainly like to do them on the oncologist by, uh, profession, so i certainly understand the need for research.",0,0.8390074372291565,1.0,0.065513476729393,6.0,0.08973377197980881,,,,,,,,,,
i didn't have the time and i'm just reading all that was hard. and now i got cancer myself. so now i wish i would have done it.,0,0.4504110813140869,4.0,0.5174908638000488,,,,,,,,,,,,
"i didn't have time before, but i have time now and want to continue to participate.",0,0.3159024715423584,4.0,0.6400343775749207,,,,,,,,,,,,
"i didn't know i was supposed to be doing anything. i'm not even really sure exactly what this study is. um, so i guess more information would be helpful. but i will send i will do whatever you send. i've moved a couple of times, but i i just don't understand that the purpose of this call, i guess.",0,0.3357008695602417,3.0,0.5265665054321289,4.0,0.1286737024784088,,,,,,,,,,
"i didn't know that i could still be in it. i thought i missed the deadline, so i was out.",0,0.015699999406933784,1.0,0.9492318034172058,,,,,,,,,,,,
"i didn't receive the survey, so i didn't, uh, know to respond to him. i didn't get them to respond. so i'm interested in in cancer research and would like to support that in any way i can. thank you.",3,0.1379331797361374,4.0,0.8410066962242126,,,,,,,,,,,,
i didn't think that i was still participating because i haven't in so long.,0,0.022897416725754738,6.0,0.9277023077011108,7.0,0.011902987957000732,,,,,,,,,,
"i do not have an answer for that. i, um some days i'm interested in some days, i'm just not interested. i'm sorry.",0,0.013565616682171822,3.0,0.7504081130027771,5.0,0.21003037691116333,,,,,,,,,,
i do not have cancer.,0,0.07322089374065399,1.0,0.030174851417541504,2.0,0.015847506001591682,3.0,0.0247653778642416,4.0,0.7535214424133301,5.0,0.028666270896792412,6.0,0.03572578355669975,7.0,0.038077887147665024
i do not have time.,0,0.07323358952999115,1.0,0.030174801126122475,2.0,0.015847479924559593,3.0,0.024765336886048317,4.0,0.7535090446472168,5.0,0.028666222468018532,6.0,0.03572572395205498,7.0,0.03807782381772995
"i do not receive any emails. if i received one, i would participate.",0,0.01570003107190132,6.0,0.9504242539405823,,,,,,,,,,,,
i do not want to be involved in the c. p s cancer study. please stop sending them to me.,0,0.6648048758506775,3.0,0.1712033897638321,4.0,0.13648048043251038,,,,,,,,,,
i do not want to participate any longer. yeah.,0,0.029695332050323486,1.0,0.012236516922712326,2.0,0.5922308564186096,3.0,0.010042865760624409,5.0,0.011624756269156933,6.0,0.014487533830106258,7.0,0.3213687837123871,,
i do not want to participate in this study in anyway.,0,0.029698053374886513,1.0,0.012236806564033031,2.0,0.8981538414955139,3.0,0.010043103247880936,5.0,0.011625031940639019,6.0,0.014487876556813717,7.0,0.01544172503054142,,
"i do want to be involved, comma. i have changed jobs now, so maybe i would have the time to complete the information if you would tell me either how to do it online or get it to me and print.",0,0.3555680513381958,5.0,0.5050355792045593,7.0,0.1281168907880783,,,,,,,,,,
i do? 912,0,0.07324706017971039,1.0,0.030185634270310402,2.0,0.015853168442845345,3.0,0.757699728012085,4.0,0.0205078125,5.0,0.028676513582468033,6.0,0.03573855012655258,7.0,0.03809149190783501
i don't believe i qualify anymore because i am a breast cancer survivor.,0,0.018628589808940887,7.0,0.9417676329612732,,,,,,,,,,,,
"i don't believe that. uh, my participation is, uh, something that you can use because it's complicated and confused by the fact that i'm suffering from another debilitating disease and therefore i opted not to continue to report in the cancer study.",0,0.7430446147918701,4.0,0.2447464019060135,,,,,,,,,,,,
"i don't care to participate. uh, please take me off your list.",0,0.2313128262758255,2.0,0.37278974056243896,3.0,0.36306828260421753,,,,,,,,,,
i don't have a computer at home and would rather do it online. then fill out a paper copy.,0,0.011945185251533985,7.0,0.962662398815155,,,,,,,,,,,,
"i don't have a problem filling them out. but there so long and they take so much time. i guess that is, um, the reason why i i haven't filled them out and sent them in.",0,0.47842538356781006,4.0,0.20657946169376373,5.0,0.29763728380203247,,,,,,,,,,
i don't have cancer.,0,0.07322089374065399,1.0,0.030174851417541504,2.0,0.015847506001591682,3.0,0.0247653778642416,4.0,0.7535214424133301,5.0,0.028666270896792412,6.0,0.03572578355669975,7.0,0.038077887147665024
"i don't have cancer. i don't expect to have cancer. and, uh, the surveys just take a lot of time to to say i don't have cancer.",0,0.2265106737613678,4.0,0.7506815195083618,,,,,,,,,,,,
i don't have time right now to do the research study. my schedule is very busy.,0,0.018625998869538307,4.0,0.6745913624763489,7.0,0.27240121364593506,,,,,,,,,,
"i don't have time. i i don't have the way to get to birmingham, and i just don't want to do it. thank you. yeah.",0,0.013570062816143036,4.0,0.9543324112892151,,,,,,,,,,,,
i don't know how they pick and choose is opening.,0,0.022894125431776047,2.0,0.921486496925354,6.0,0.011168796569108963,7.0,0.011904123239219189,,,,,,,,
i don't know if i qualify and i have cancer.,0,0.02969394065439701,1.0,0.012236864306032658,3.0,0.010043149814009666,5.0,0.9033560752868652,6.0,0.014487944543361664,7.0,0.015441796742379665,,,,
i don't know the answer to the question. i don't know what's involved. yeah.,0,0.01863001473248005,5.0,0.9393823742866516,,,,,,,,,,,,
"i don't know, period. the, um the survey just seem long at a time when i'm a working parent and really busy.",5,0.8143323659896851,6.0,0.16133847832679749,,,,,,,,,,,,
i don't know.,0,0.07322648912668228,1.0,0.030174825340509415,2.0,0.01584749110043049,3.0,0.02476535551249981,4.0,0.020500468090176582,5.0,0.7616817951202393,6.0,0.035725753754377365,7.0,0.03807785362005234
i don't know. i i've just forgot.,0,0.042262524366378784,1.0,0.017411859706044197,3.0,0.014290419407188892,4.0,0.4029044210910797,5.0,0.4713991582393646,6.0,0.020614925771951675,7.0,0.021972164511680603,,
"i don't know. i don't know, answer to their questions.",0,0.029692843556404114,1.0,0.01223619095981121,3.0,0.01004259753972292,5.0,0.9033607840538025,6.0,0.014487147331237793,7.0,0.015440947376191616,,,,
i don't know. i don't know.,0,0.042252857238054276,1.0,0.017411673441529274,3.0,0.014290266670286655,4.0,0.011829312890768051,5.0,0.8624848127365112,6.0,0.020614705979824066,7.0,0.0219719298183918,,
"i don't know. i have no clue. i don't know why you so like i don't know what to tell you. um, trying to get me when i'm around. not like all basket nuts. doubt are high, so mm, that's about it.",5,0.9801285266876221,,,,,,,,,,,,,,
i don't know. i just get busy and forget all about it. i guess i just need to do better.,0,0.013568944297730923,4.0,0.9543349146842957,,,,,,,,,,,,
i don't know. the information is sent. they will continue to send,0,0.9507235884666443,,,,,,,,,,,,,,
i don't like the questions being so personal.,0,0.029692387208342552,1.0,0.012236368842422962,3.0,0.010042743757367134,5.0,0.9033603072166443,6.0,0.014487357810139656,7.0,0.015441171824932098,,,,
"i don't mind being involved in this study. i just seem to always not have enough time to complete the survey. um, i will do my best to try in the future.",0,0.5732308626174927,5.0,0.40991511940956116,,,,,,,,,,,,
i don't need a minute. i don't want to be involved because i'm going to cancer myself.,0,0.01863173209130764,5.0,0.9393806457519531,,,,,,,,,,,,
i don't need any encouragement. i just don't want to participate.,0,0.02970077469944954,1.0,0.01223696582019329,2.0,0.8981502056121826,3.0,0.010043233633041382,5.0,0.011625182814896107,6.0,0.01448806468397379,7.0,0.015441924333572388,,
i don't need to be encouraged to stay involved. i just never got the surveys. i've moved several times since i enrolled.,4,0.9704056978225708,,,,,,,,,,,,,,
"i don't really have a reason. i just forget that i get the the test, and i i just didn't do it. but i'd like to stay part of the research. do i need to complete the past test?",4,0.39462530612945557,6.0,0.5821141004562378,,,,,,,,,,,,
i don't really know. three. and that was on recording.,0,0.022898072376847267,3.0,0.5867608189582825,6.0,0.34867560863494873,7.0,0.011904929764568806,,,,,,,,
"i don't really need any additional information. i understand the importance. i simply forgot to fill out the surveys, so it's, uh, nothing that you did or didn't do.",0,0.7358468174934387,3.0,0.24550646543502808,,,,,,,,,,,,
"i don't recall getting the survey of complete. i've since retired from my company who had sponsored the c. p s three, um, survey. so please send me another copy to my home email address at john dot j dot s c h r o e d e r at gmail dot com john dot j dot s c h r o e d e r at gmail dot com i will gladly fill it out mhm.",0,0.149913489818573,1.0,0.8449397683143616,,,,,,,,,,,,
"i don't remember getting any follow up surveys that i haven't responded to, so i'm not sure if they're being sent by mail or by email, but i would love to be able to complete them online as opposed to on physical paper. so if there's a way to send surveys to my email address, that would be a preferred method rather than, uh, usps mail.",1,0.3922117352485657,6.0,0.17075331509113312,7.0,0.4291922152042389,,,,,,,,,,
"i don't see any, um er way to do it.",0,0.022890741005539894,1.0,0.9259727001190186,6.0,0.011167972348630428,7.0,0.011903245933353901,,,,,,,,
"i don't think i've gotten another survey to fill out. if there was one, i didn't get it. if you wanna send it to us, we have a new address. 5113 evesham circle. i'm sorry. it's 5116 evesham circle, virginia beach, virginia. 23464 you may have our old address still.",0,0.30589234828948975,1.0,0.6856415271759033,,,,,,,,,,,,
i don't understand it.,0,0.07322869449853897,1.0,0.0301752258092165,2.0,0.01584770157933235,3.0,0.7577763795852661,4.0,0.02050074003636837,5.0,0.028666626662015915,6.0,0.03572622686624527,7.0,0.03807836025953293
i don't understand some things about what the form says.,0,0.3674200475215912,3.0,0.5797528624534607,6.0,0.011167855001986027,7.0,0.011903120204806328,,,,,,,,
i don't want to anymore.,0,0.042256079614162445,1.0,0.017412055283784866,3.0,0.8602285385131836,4.0,0.011829572729766369,5.0,0.01654154621064663,6.0,0.02061515860259533,7.0,0.02197241224348545,,
"i don't want to continue to pay for that survey already, for now. thank you very much.",0,0.013569426722824574,4.0,0.9543331861495972,,,,,,,,,,,,
i don't wish to remain removed me from your database.,0,0.022905712947249413,1.0,0.925944447517395,6.0,0.011170882731676102,7.0,0.01190634723752737,,,,,,,,
i feel that i have been involved. i returned everything every time something was mailed to me. so i'm not sure why. saying that you have not received any of any additional information from me.,0,0.980220377445221,,,,,,,,,,,,,,
i feel that it's not helping because i have already lost two of my brothers from liver cancer.,0,0.4165967106819153,4.0,0.5551404356956482,,,,,,,,,,,,
"i find the research study is so long it takes so much time. and, um, i don't know. after a while, i just kind of lose interest. so if the surveys were a little bit shorter, i would be able to participate. no problem.",5,0.42136022448539734,6.0,0.5635882616043091,,,,,,,,,,,,
"i forgot to do it. um, maybe send me another one.",0,0.9507231712341309,,,,,,,,,,,,,,
"i forgot to fill out the second one and then i wasn't sure if i could still participate after not filling out the second one. if i can still participate, please send me a new form.",0,0.9847771525382996,,,,,,,,,,,,,,
"i got some polls, some hurt her and others forgot. however, i have not received the survey every year.",0,0.3475831151008606,1.0,0.3110862672328949,4.0,0.32249149680137634,,,,,,,,,,
"i guess if i knew my information was still helpful, even though i haven't participated in it for i don't know, however many years, then i think i would participate in it again. plus, i'm older now, and i've actually just been diagnosed with cancer, so i think i be important four clearly.",3,0.9858551621437073,,,,,,,,,,,,,,
i guess it would be better to access an online portal to answer questions as opposed to filling it out on paper and mailing it back.,7,0.9747415781021118,,,,,,,,,,,,,,
"i guess we can have another one sent to me. and i can try to take the time. i've just been very busy with things that are going on in my life. so, um, i i would like to take the time to answer, but i just put them aside when they come, and i never get back to them. so if you wanna send me another survey, feel free to thank you.",0,0.49753257632255554,4.0,0.4938293695449829,,,,,,,,,,,,
i guess you could send me another copy. i think what happens is i get this big packet and i set it aside thinking i don't have time to fill it out.,0,0.3238317668437958,1.0,0.6606311798095703,,,,,,,,,,,,
"i guess, make the surveys shorter. mhm.",0,0.01862330734729767,4.0,0.20500031113624573,6.0,0.4918847978115082,7.0,0.25919803977012634,,,,,,,,
"i guess, uh, more reminders would help me stay involved. or maybe, um, surveys with less questions or that are easier or quicker to respond to so that i respond to them when i see them. and don't put them off for later and then forget.",1,0.2187644988298416,4.0,0.3124811053276062,5.0,0.2129388004541397,7.0,0.24527795612812042,,,,,,,,
i had breast cancer three years ago and now i'm under review and i want to continue with the study.,0,0.013569624163210392,3.0,0.5067154169082642,4.0,0.4522048830986023,,,,,,,,,,
"i had good intentions of filling out the survey and never made the time to do so. i eat very healthy. overall, i was hoping that that would be a factor, but i would look to assist with surveys in the future.",6,0.9828175902366638,,,,,,,,,,,,,,
i had moved that you had to send the paperwork to my new address.,0,0.9394318461418152,6.0,0.011167755350470543,7.0,0.011903014034032822,,,,,,,,,,
"i had, um i no longer have the forms. i need them again or be able to do something. um, online. i'm feeling better. i had a stroke and a head injury and couldn't do that for a long time. and now i can't find the forms.",0,0.5344498157501221,5.0,0.3326666057109833,7.0,0.12290249764919281,,,,,,,,,,
"i have stage four colon cancer. it's in my liver and the bio doc and two spots my left lung. the cancer doctor doesn't think that what's in my left lung is cancer. my body scan of september this year was a showed no cancer. there could be microscopic cancer, though. last month, december scan showed that the cancer is back in my liver and it's in the lymph nodes of my abdomen. i was diagnosed with cancer end of may of this year or beginning of june. i was told that i have two years to live.",4,0.9930463433265686,,,,,,,,,,,,,,
i have a new last name. narva areas is no longer my last name. my last name is jameson. j a m e s o n. my full name is julie jameson. j a m e s o n. please send future surveys in that name.,1,0.9861704111099243,,,,,,,,,,,,,,
i have been ill for some time. i'm currently recovering. i have moved.,0,0.01863626018166542,5.0,0.5014886856079102,6.0,0.44696155190467834,,,,,,,,,,
i have changed my email. it's been a while since i got a survey.,0,0.7115325331687927,1.0,0.24686481058597565,,,,,,,,,,,,
"i have done the surveys. i've done some online, and i've mailed some, so i'm not sure. um why? i'm getting this call. i don't know why you haven't been getting my surveys. um, and i haven't received anything in a long time.",5,0.44091251492500305,6.0,0.19956620037555695,7.0,0.34389448165893555,,,,,,,,,,
i have just not had the time.,0,0.07323780655860901,1.0,0.030174802988767624,2.0,0.015847479924559593,3.0,0.024765338748693466,4.0,0.7535048127174377,5.0,0.02866622433066368,6.0,0.035725727677345276,7.0,0.03807782754302025
i have more time now and i can i can fill them out now.,0,0.8881963491439819,1.0,0.017411699518561363,3.0,0.014290288090705872,4.0,0.011829330585896969,5.0,0.01654120720922947,6.0,0.020614737644791603,7.0,0.021971963346004486,,
i have more time now. i'd like to continue.,0,0.029698604717850685,1.0,0.012236238457262516,3.0,0.010042636655271053,4.0,0.5249782800674438,5.0,0.3866896629333496,6.0,0.014487204141914845,7.0,0.015441006980836391,,
i have more time now. my husband was very ill and has since passed.,0,0.018625546246767044,2.0,0.9361245632171631,,,,,,,,,,,,
i have moved and i have a different address. i could i need to get the survey sent to my new address.,0,0.9717718362808228,,,,,,,,,,,,,,
i have moved from california to tennessee and have not received the surveys.,0,0.01862853392958641,6.0,0.9411786198616028,,,,,,,,,,,,
